GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
PON1	BCHE	0.338962418778227	protein-protein	0.338962418778227
KLKB1	BCHE	0.399426602603451	protein-protein	0.399426602603451
KLKB1	PON1	0.224743663090697	protein-protein	0.224743663090697
PRG4	HP	-0.171493352044569	protein-protein	0.171493352044569
GC	HP	0.210651865507638	protein-protein	0.210651865507638
GC	SELENOP	-0.337697355387695	protein-protein	0.337697355387695
GC	PON1	0.214836738472789	protein-protein	0.214836738472789
GC	KLKB1	0.278927587757976	protein-protein	0.278927587757976
GC	PRG4	-0.113335207080804	protein-protein	0.113335207080804
F7	KLKB1	0.238835272793612	protein-protein	0.238835272793612
SERPINA1	HP	0.356807136451555	protein-protein	0.356807136451555
SERPINA1	SELENOP	-0.334713657170918	protein-protein	0.334713657170918
SERPINA1	GC	0.19429795179217	protein-protein	0.19429795179217
APOA1	PON1	0.201233682521142	protein-protein	0.201233682521142
APOA1	KLKB1	0.167229400912532	protein-protein	0.167229400912532
